POLYMER_NAME,SMILES,NumHeavyAtoms,NumHeteroatoms,FractionCSP3,NumAliphaticRings,NumAromaticRings,RadiusOfGyration,Asphericity,Eccentricity,LabuteASA,BalabanJ,BertzCT,MaxPartialCharge,MinPartialCharge,HeavyAtomMolWt,NHOHCount,NOCount
PVDF,C(F)(F)C(F)(F),6,4,1,0,0,1.55415315171563,0.161294732578438,0.879402394412381,34.5762757542667,4.0203915431768,67.0195500086539,0.297765030467256,-0.203943204070414,100.014,0,0
PTFE,C(F)(F),3,2,1,0,0,1.06329645082022,0.54833511588747,0.983078002404662,19.8802628340176,3.02371578407382,23.1194154787638,0.228519759343213,-0.214185891788971,50.007,0,0
EVA,CCOCC,5,1,1,0,0,1.82645468046073,0.697503731562309,0.993489099765899,46.9973276022044,4.89399409859884,198.557337465337,0.0563603524747362,-0.382025835782642,64.043,0,1
PBT,OCCOC(=O)C1=CC=CC=C1C(=O)OCC,17,5,0.333333333333333,0,1,3.2459042934245,0.275274768474777,0.926580879130714,118.721681477651,3.65341208515415,892.89803545985,0.338590270309953,-0.462372421938219,224.127,1,5
POM,CO,2,1,1,0,0,0.83489712409775,0.522467338335882,0.979760793965731,19.2400370388241,3.16848987267057,37.3029689088065,0.20962966438669,-0.399630243557307,28.01,1,1
PPS,C1=CC=C(S)C=C1,7,1,0,0,1,1.94010760249748,0.482602467680176,0.975323266920145,56.6971886517099,3.56375767604791,320.46309272239,0.107898445129479,-0.14342689229771,104.133,0,0
PSU,O=S(=O)(c1ccccc1)c2ccccc2,15,3,0,0,2,2.7733044461349,0.270329961497136,0.928514947446077,103.163600709026,3.0242239857153,882.021782819251,0.206086626350025,-0.218514325518306,208.197,0,2
PES,O=S(=O)(c1ccc(cc1))c2ccc(cc2),15,3,0,0,2,2.7733044461349,0.270329961497136,0.928514947446077,103.163600709026,3.0242239857153,882.021782819251,0.206086626350025,-0.218514325518306,208.197,0,2
PA11,NCCCCCCCCCCC(=O)O,14,3,0.909090909090909,0,0,4.06149980848779,0.725240726459175,0.994697636658834,119.201423747512,7.19091757254327,860.753724106245,0.302839556532184,-0.481230389785217,178.126,3,3
PA12,NCCCCCCCCCCCC(=O)O,15,3,0.916666666666667,0,0,4.46061777991222,0.691785462844109,0.993227393955091,128.376306862244,7.32261497080689,951.446151085897,0.302839556532184,-0.481230389785217,190.137,3,3
