POLYMER_NAME,SMILES,ElasticModulus,Volume_Surface_Ratio,Shape_Normalized,Flexibility_Index,Mass_Density,Polarity_Index,Hydrophobicity_Balance,Refractivity_Efficiency,Connectivity_Density,Topological_Size_Ratio,Surface_Stiffness_Ratio
Polyethylene,CC,15.035,30.07,2,0,2.43521218011014,0,1.0262,0.365239781139363,0.5,0,0
Polybutylene,CCCC,14.531,58.124,4,0.25,2.69317023445464,0,1.8064,0.348115824369123,0.75,0,0
PVC,C=CCCl,19.1315,76.526,4,0.25,3.4916275037642,0,1.4112,0.26980625854552,0.75,0,0
PVDF,C(F)(F)C(F)(F),17.005,102.03,6,0.166666666666667,7.84363468634686,0,1.5166,0.116548578084053,0.833333333333333,0,0
PTFE,C(F)(F),17.341,52.023,3,0,6.43610045775083,0,0.8829,0.13358353921883,0.666666666666667,0,0
EVA,CCOCC,14.8246,7.24565004887586,5,0.4,3.19950792074934,1.846,0.5214,0.295076075236612,0.8,0,3.07666666666667
PBT,OCCOC(=O)C1=CC=CC=C1C(=O)OCC,14.0140588235294,3.22685900040634,8.5,0.277777777777778,3.92054542941211,4.28411764705882,0.144628571428571,0.249820472414615,1,0.0588235294117647,12.1383333333333
POM,CO,16.021,1.50927932171456,2,0,3.50461565384784,10.115,-0.1305,0.246437866957206,0.5,0,20.23
PPS,C1=CC=C(S)C=C1,15.7401428571429,110.181,3.5,0,3.17579408543264,0,0.658433333333333,0.303055378167133,1,0.142857142857143,0
PSU,O=S(=O)(c1ccccc1)c2ccccc2,14.5518,6.21163915765509,5,0.117647058823529,3.67867290910378,2.276,0.8398,0.266037021666659,1.06666666666667,0.133333333333333,11.38
PES,O=S(=O)(c1ccc(cc1))c2ccc(cc2),14.5518,6.21163915765509,5,0.117647058823529,3.67867290910378,2.276,0.8398,0.266037021666659,1.06666666666667,0.133333333333333,11.38
PA11,NCCCCCCCCCCC(=O)O,14.3792857142857,3.12981965174129,14,0.714285714285714,3.39802711534826,4.52285714285714,0.50812,0.287890860560526,0.928571428571429,0,5.75636363636364
PA12,NCCCCCCCCCCCC(=O)O,14.3558,3.34790111940298,15,0.733333333333333,3.37200635137378,4.22133333333333,0.58614,0.290566107508194,0.933333333333333,0,5.27666666666667
HDPE,CC,15.035,30.07,2,0,2.43521218011014,0,1.0262,0.365239781139363,0.5,0,0
LDPE,CCC,14.699,44.097,3,0,2.59929266136163,0,1.4163,0.354014679468701,0.666666666666667,0,0
LLDPE,CCCC,14.531,58.124,4,0.25,2.69317023445464,0,1.8064,0.348115824369123,0.75,0,0
UHMWPE,CCCCC,14.4302,72.151,5,0.4,2.75396007481202,0,2.1965,0.344479227898457,0.8,0,0
SAN,C=CC#N,13.266,2.14054054054054,4,0,3.15669244497323,5.9475,0.34799,0.292431192660551,0.75,0,23.79
ASA,C=CC#N,13.266,2.14054054054054,4,0,3.15669244497323,5.9475,0.34799,0.292431192660551,0.75,0,23.79
COC,C1OC1,14.6843333333333,3.2559497413156,1.5,0,3.72730349437347,4.17666666666667,0.00830000000000003,0.240139391383482,1,0.333333333333333,12.53
COP,C1COC1,14.52,5.67741935483871,2,0,3.53370649793137,2.3075,0.20335,0.261272850372377,1,0.25,9.23
PC-ABS,C=CC1=CC=CC=C1,13.019,104.152,4,0.111111111111111,2.77494471531719,0,2.3296,0.347430386488132,1,0.125,0
