POLYMER_NAME,SMILES,MolWt,LogP,TPSA,HDonors,HAcceptors,RotatableBonds,ValenceElectrons,HeavyAtoms,RingCount,FractionCSP3,AliphaticRings,AromaticRings,SaturatedRings,AliphaticCarbocycles,AromaticCarbocycles,SaturatedCarbocycles,AliphaticHeterocycles,AromaticHeterocycles,SaturatedHeterocycles,RadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,BalabanJ,BertzCT,Chi0,Chi1,Kappa1,Kappa2
PEI,O=C1NC(=O)C2=CC=CC=C2O1,163.13199999999998,0.4813000000000001,63.07,1.0,3.0,0.0,60.0,12.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.41911453713556623,-0.4091815673819218,0.41911453713556623,0.4091815673819218,3.0939322696636298,523.3042779533675,8.55204176387779,5.770856947829096,6.844729127323647,2.3355710224487796
PMMA,CC(C)(C(=O)O)C,102.13299999999998,1.1171,37.3,1.0,1.0,0.0,42.0,7.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3082795074066913,-0.4808445083134276,0.4808445083134276,0.3082795074066913,3.7911184170869663,78.57116899294724,6.077350269189626,2.9433756729740645,6.47,1.5234757718400516
Polycarbonate,O=C(Oc1ccccc1)Oc2ccccc2,214.21999999999997,3.264400000000002,35.53,0.0,3.0,2.0,80.0,16.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.5189243309988207,-0.39471884462288653,0.5189243309988207,0.39471884462288653,1.9521941477943936,407.6186271235691,11.217332181807452,7.84333659290053,10.235362076049029,4.97865194117306
Polystyrene,C=CC1=CC=CC=C1,104.15199999999997,2.3296,0.0,0.0,0.0,1.0,40.0,8.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-0.02625578937784246,-0.09847005004016512,0.09847005004016512,0.02625578937784246,2.9910469146846212,162.65300142116237,5.819990956308912,3.931851652578137,5.10367816091954,2.3141072195146584
PVA,CC(O),46.069,-0.0014000000000000123,20.23,1.0,1.0,0.0,20.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04022058174908642,-0.3966637147812598,0.3966637147812598,0.04022058174908642,1.6329931618554523,2.7548875021634682,2.7071067811865475,1.4142135623730951,2.9600000000000004,1.96
Polypropylene,CC(C),44.096999999999994,1.4163,0.0,0.0,0.0,0.0,20.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.059038363929048716,-0.06564544121023959,0.06564544121023959,0.059038363929048716,1.6329931618554523,0.0,2.7071067811865475,1.4142135623730951,3.0,2.0
Polyethylene,CC,30.07,1.0262,0.0,0.0,0.0,0.0,14.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.06826238342059164,-0.06826238342059164,0.06826238342059164,0.06826238342059164,1.0,0.0,2.0,1.0,2.0,0.0
Polybutylene,CCCC,58.123999999999995,1.8064,0.0,0.0,0.0,1.0,26.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05643437041758633,-0.06539244288085166,0.06539244288085166,0.05643437041758633,1.9747448713915894,2.0,3.414213562373095,1.914213562373095,4.0,3.0
PVC,C=CCCl,76.526,1.4112,0.0,0.0,0.0,1.0,24.0,4.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040106491218081464,-0.12221964766558473,0.12221964766558473,0.040106491218081464,2.2968352619191394,17.24511249783653,3.414213562373095,1.914213562373095,4.030000000000002,3.0300000000000016
PVDF,C(F)(F)C(F)(F),102.03,1.5166,0.0,0.0,0.0,1.0,38.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2977650304672564,-0.20394320407041397,0.2977650304672564,0.20394320407041397,2.9934972434784735,26.52932501298081,5.1547005383792515,2.6427344100918364,5.72,1.9963460315907868
PTFE,C(F)(F),52.022999999999996,0.8829,0.0,0.0,0.0,0.0,20.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22851975934321334,-0.21418589178897088,0.22851975934321334,0.21418589178897088,1.6329931618554523,2.7548875021634682,2.7071067811865475,1.4142135623730951,2.86,1.8599999999999997
EVA,CCOCC,74.123,1.0428000000000002,9.23,0.0,1.0,2.0,32.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043708412524692805,-0.3820258357826421,0.3820258357826421,0.043708412524692805,2.19060968716425,11.119415478763749,4.121320343559642,2.414213562373095,4.960000000000001,3.9600000000000004
