SAMPLE,SMILES,NumHeavyAtoms,NumHeteroatoms,FractionCSP3,NumAliphaticRings,NumAromaticRings,RadiusOfGyration,Asphericity,Eccentricity,LabuteASA,BalabanJ,BertzCT,MaxPartialCharge,MinPartialCharge,HeavyAtomMolWt,NHOHCount,NOCount
Polymer_27,CC(C#N)CN,6,2,0.75,0,0,1.86546039878468,0.399767385969698,0.963150884956647,48.92242501532,5.40069095956335,251.04734401698,0.118430387040916,-0.329176873475948,76.058,2,2
Polymer_28,CC(C#N)CF,6,2,0.75,0,0,1.76774901128603,0.218376244384569,0.890361430461525,44.8220154564212,5.13532270361733,195.058650025962,0.104932248230374,-0.249678477639226,81.049,0,1
Polymer_29,CC(C#N)OC,6,2,0.75,0,0,1.7544397921488,0.229598116061777,0.905021506689549,47.1749957831697,4.80773568271218,224.117716357186,0.140329014100566,-0.366824649136019,78.05,0,2
Polymer_30,CC(C#N)NC,6,2,0.75,0,0,1.73806684825467,0.166653660651202,0.879876236389844,49.074339869677,5.21048473467583,247.537569012653,0.123146925789019,-0.305234039942917,76.058,1,2
Polymer_31,CC(C)(C)C(=O)OO,8,3,0.8,0,0,1.97579992906446,0.241309319831269,0.919811570415386,62.3339911427063,6.17875395293596,274.906416070199,0.346802040873496,-0.300446979662527,108.052,1,3
Polymer_32,CC(C)(C)C(=O)ON,8,3,0.8,0,0,1.98544253995814,0.238429009133672,0.918727683921593,64.33880477778,6.1969781958361,302.426282650716,0.329177222182738,-0.37290983269921,106.06,2,3
Polymer_33,CC(C)(C)C(=O)OF,8,3,0.8,0,0,1.98546541285428,0.257352594983368,0.925923622259431,60.1848486884723,6.23843302646895,263.939649027536,0.353539494465716,-0.254329198293319,111.051,0,2
Polymer_34,CC(C)(C)C(=O)OCl,8,3,0.8,0,0,2.16811252321291,0.402672681776661,0.963124094997481,66.5944324574853,6.23843302646895,263.939649027536,0.329477902208303,-0.347026642795461,127.506,0,2
Polymer_35,CC(C)(C)C(=O)OC,8,2,0.833333333333333,0,0,1.99400111653116,0.234298345971702,0.917010647768602,66.698674931377,6.27530759263406,331.330585906693,0.310441159051251,-0.468610353354586,104.064,0,2
Polymer_36,CC(C)(C)C(=O)OCO,9,3,0.833333333333333,0,0,2.18594365403881,0.341987922445533,0.949747304348382,71.5795789417003,6.25585921007036,353.228519354634,0.312820935737977,-0.43827944856404,120.063,1,3
Polymer_37,CC(C)(C)C(=O)OCN,9,3,0.833333333333333,0,0,2.18592923175482,0.321987721723463,0.944242491608729,73.5596493930342,6.29386244674538,381.67782683056,0.312023981339376,-0.449568625820475,118.071,2,3
Polymer_38,CC(C)(C)C(=O)OCF,9,3,0.833333333333333,0,0,2.18495384402968,0.347985253787669,0.951178173093319,69.4592398341354,6.27530759263406,336.296388110337,0.313050612506941,-0.43331926534735,123.062,0,2
Polymer_39,CC(C)(C)C(=O)OOC,9,3,0.833333333333333,0,0,2.15806641742158,0.322273225752626,0.944551894881166,71.7415154766222,6.00602598176706,347.718744350307,0.347069348428836,-0.298052213776994,120.063,0,3
